#Index	R	G	B	Column1	Column2	Column3	Label
0	0	0	0	1	1	1	Background
1	0	0	255	1	1	1	GM
2	245	0	245	1	1	1	Left-Cerebral-White-Matter
3	0	256	255	1	1	1	Left-Lateral-Ventricle
4	220	220	220	1	1	1	Left-Cerebellum-White-Matter
5	205	205	205	1	1	1	Left-Cerebellum-Cortex
6	200	0	0	1	1	1	Left-Thalamus
7	255	100	100	1	1	1	Left-Caudate
8	255	165	0	1	1	1	Left-Putamen
9	255	215	0	1	1	1	Left-Pallidum
10	0	0	255	1	1	1	3rd-Ventricle
11	100	100	255	1	1	1	4th-Ventricle
12	160	82	45	1	1	1	Brain-Stem
13	138	43	226	1	1	1	Left-Hippocampus
14	255	20	147	1	1	1	Left-Amygdala
15	12	0	0	1	1	1	CSF
16	128	0	128	1	1	1	Left-Accumbens-area
17	0	255	255	1	1	1	Left-VentralDC
18	245	0	245	1	1	1	Right-Cerebral-White-Matter
19	0	128	255	1	1	1	Right-Lateral-Ventricle
20	220	220	220	1	1	1	Right-Cerebellum-White-Matter
21	205	205	205	1	1	1	Right-Cerebellum-Cortex
22	200	0	0	1	1	1	Right-Thalamus
23	255	100	100	1	1	1	Right-Caudate
24	255	165	0	1	1	1	Right-Putamen
25	255	215	0	1	1	1	Right-Pallidum
26	138	43	226	1	1	1	Right-Hippocampus
27	255	20	147	1	1	1	Right-Amygdala
28	128	0	128	1	1	1	Right-Accumbens-area
29	0	255	255	1	1	1	Right-VentralDC
